Date,Price,Open,High,Low,Change %
2024-01-26,47.7321,49.6427,49.6427,47.7321,-3.85
2024-01-27,46.0639,47.7321,47.7321,45.9912,-3.5
2024-01-28,47.824,46.0639,47.824,46.0639,3.82
2024-01-29,48.276,47.824,48.276,47.7201,0.95
2024-01-30,49.5228,48.276,49.5228,48.276,2.58
2024-01-31,49.5578,49.5228,49.7067,49.5228,0.07
2024-02-01,47.8241,49.5578,49.5578,47.7984,-3.5
2024-02-02,46.1927,47.8241,47.826,46.1927,-3.41
2024-02-03,45.3546,46.1927,46.1927,45.3546,-1.81
2024-02-04,45.3263,45.3546,45.3546,44.9576,-0.06
2024-02-05,45.7216,45.3263,45.7688,45.1433,0.87
2024-02-06,45.7969,45.7216,45.7969,45.1508,0.16
2024-02-07,46.0164,45.7969,46.0164,45.2905,0.48
2024-02-08,46.9035,46.0164,47.1623,46.0164,1.93
2024-02-09,49.7562,46.9035,49.7562,46.5977,6.08
2024-02-10,50.6899,49.7562,50.6899,49.7562,1.88
2024-02-11,53.1473,50.6899,53.1545,50.6899,4.85
2024-02-12,55.6662,53.1473,55.6662,53.0712,4.74
2024-02-13,55.8614,55.6662,56.6073,55.2325,0.35
2024-02-14,57.6693,55.7446,57.6693,54.9341,3.24
2024-02-15,58.3147,57.6693,58.6115,57.6693,1.12
2024-02-16,57.3958,58.3147,58.3147,57.3524,-1.58
2024-02-17,57.7744,57.3958,57.7744,57.3711,0.66
2024-02-18,59.1236,57.7744,59.1236,57.7744,2.34
2024-02-19,59.8141,59.1236,59.8141,59.1236,1.17
2024-02-20,59.5985,59.8141,59.9598,59.5424,-0.36
2024-02-21,58.1374,59.5985,59.5985,58.0241,-2.45
2024-02-22,58.5193,58.1374,58.5193,57.9381,0.66
2024-02-23,56.534,58.5193,58.5928,56.534,-3.39
2024-02-24,57.9593,56.534,57.9593,56.3919,2.52
2024-02-25,59.3538,58.0266,59.3538,58.0266,2.41
2024-02-26,60.1011,59.3824,60.1174,59.3768,1.26
2024-02-27,62.7847,60.1011,63.3417,60.1011,4.47
2024-02-28,70.3112,62.7847,71.4256,61.0358,11.99
2024-02-29,72.2165,70.3112,73.873,70.2102,2.71
2024-03-01,68.5207,72.2165,72.2165,68.3857,-5.12
2024-03-02,68.2199,68.5207,68.5207,67.9592,-0.44
2024-03-03,72.255,68.2199,72.255,68.2199,5.91
2024-03-04,77.5806,72.255,77.9176,72.255,7.37
2024-03-05,76.9282,77.5806,78.065,76.5173,-0.84
2024-03-06,80.0816,76.9282,80.1437,76.5406,4.1
2024-03-07,76.6946,80.0816,80.0816,76.6946,-4.23
2024-03-08,75.9693,76.6946,76.6946,74.5399,-0.95
2024-03-09,76.7347,75.9693,76.7347,74.767,1.01
2024-03-10,81.9548,76.7347,81.9548,76.7347,6.8
2024-03-11,85.7908,81.9548,85.7908,81.5808,4.68
2024-03-12,81.6969,85.7908,85.8835,81.6969,-4.77
2024-03-13,81.0388,81.6969,81.9575,80.8495,-0.81
2024-03-14,75.4691,81.0388,81.0388,75.3924,-6.87
2024-03-15,77.9222,75.4691,78.1107,74.4875,3.25
2024-03-16,76.4321,77.9222,77.9764,76.0462,-1.91
2024-03-17,78.8575,76.4321,78.9707,76.4321,3.17
2024-03-18,77.6569,78.8575,79.1691,77.6569,-1.52
2024-03-19,78.4655,77.6569,78.4655,76.532,1.04
2024-03-20,81.2178,78.4655,81.4048,78.4655,3.51
2024-03-21,78.6464,81.2178,81.2178,78.6464,-3.17
2024-03-22,77.2993,78.6464,78.6464,77.2993,-1.71
2024-03-23,77.0294,77.2993,77.2993,76.5061,-0.35
2024-03-24,76.7686,77.0294,77.4437,76.7686,-0.34
2024-03-25,78.602,76.7686,78.602,76.3953,2.39
2024-03-26,78.6544,78.602,78.9352,78.602,0.07
2024-03-27,78.6644,78.6544,78.8422,77.8465,0.01
2024-03-28,79.8897,78.7429,80.0695,78.7429,1.56
2024-03-29,77.7806,79.8897,79.9837,77.7806,-2.64
2024-03-30,77.9793,77.6778,77.9793,76.7609,0.26
2024-03-31,78.5932,77.9793,78.5932,77.9515,0.79
2024-04-01,77.7074,78.5932,79.118,77.7074,-1.13
2024-04-02,77.6413,77.7074,77.7074,77.3991,-0.09
2024-04-03,76.1102,77.6413,77.6413,76.1102,-1.97
2024-04-04,74.4823,76.1102,76.1102,73.9863,-2.14
2024-04-05,74.9251,74.4823,75.2702,74.4823,0.59
2024-04-06,74.0651,74.9251,74.9251,64.2087,-1.15
2024-04-07,77.6871,74.0651,77.6871,74.0651,4.89
2024-04-08,79.6099,77.6871,79.8599,77.6871,2.48
2024-04-09,77.6218,79.6099,79.6099,77.6218,-2.5
2024-04-10,75.8241,77.6218,77.6218,75.8241,-2.32
2024-04-11,71.5197,75.8241,75.8241,71.5197,-5.68
2024-04-12,68.5513,71.5197,71.5197,68.0236,-4.15
2024-04-13,74.7614,68.5513,74.7614,68.5513,9.06
2024-04-14,76.0104,74.7614,76.0668,74.7614,1.67
